"ST004D01T","ST022Q01TA","REPEAT","SCI.PHY","SCI.CHE","SCI.BIO","SCI.EAR","SCI.APP","SCI.GEN","OUT.MEAL","OUT.STUDY","OUT.VEDIO","OUT.READ","OUT.NET","Out.GAME","OUT.FRD","OUT.PAR","OUT.HOUSE","OUT.JOB","OUT.SPORT","ST111Q01TA","ST062Q01TA","ST062Q02TA","ST062Q03TA","ST031Q01NA","ST032Q01NA","ST064Q01NA","ST064Q02NA","ST064Q03NA","GRADE","MISCED","FISCED","DURECEC","DISCLISCI","TEACHSUP","IBTEACH","TDTEACH","ENVAWARE","ENVOPT","JOYSCIE","INTBRSCI","INSTSCIE","SCIEEFF","EPIST","SCIEACT","BSMJ","BMMJ1","BFMJ2","OUTHOURS","TMINS","BELONG","ANXTEST","MOTIVAT","COOPERATE","CPSVALUE","EMOSUPS","PERFEED","ADINST","unfairteacher","CULTPOSS","HEDRES","WEALTH"
1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,7,0,1,0,1,0,0,0,-0.6002,-0.2618,0.3098,-0.2928,-1.0033,0.712,0.5094,0.9749,-0.8262,-1.3881,-0.1007,-0.8649,70,NA,12,1.09861228866811,1800,0.7934,-0.8109,-0.0362,0.9455,1.2787,-0.889,1.0606,-0.3816,8,-0.7273,-1.1358,-1.1585
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,1,3,7,1,1,0,1,3,1,0,0.5186,-1.2886,-0.1874,-0.6102,-1.2707,3.0127,0.125,-0.2052,-0.0575,-0.7482,-0.1933,3.2435,72,60,NA,2.89037175789616,NA,-0.3381,-0.6871,0.1717,-0.9705,-0.6214,0.3838,0.8179,-0.3816,13,-0.7273,-1.0509,-0.173
0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,3,7,0,0,0,0,2,0,2,-0.9727,-0.1972,0.2895,-0.4674,3.2811,0.7231,-2.1154,-2.4981,1.7359,0.0164,-1.127,1.449,32,NA,38,2.99573227355399,3000,0.3791,0.7882,0.1111,0.8242,0.5587,-2.5249,2.4994,2.0469,7,-0.4343,-0.6134,0.4247
1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,7,1,0,1,1,3,3,1,-1.4542,1.4475,1.315,0.4505,1.4725,0.0968,2.1635,0.5305,0.3708,0.3155,-0.1933,1.0246,18,48,18,3.8286413964891,400,-0.5917,0.5209,-0.4849,-1.4606,0.0333,1.0991,1.0606,0.6524,12,-1.2278,0.0321,-0.1155
0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,2,0,1,2,0,5,2,1,0,1,2,2,2,0.5529,0.5088,1.3855,2.0781,0.6352,0.692,1.1074,0.279,0.0125,-0.2028,-0.9488,-0.422,89,25,34,3.71357206670431,NA,-0.3381,-1.0789,1.8543,-1.0917,-1.3255,1.0991,-0.1191,0.702,13,1.0478,1.1563,0.9792
0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,1,0,0,7,0,0,0,1,3,4,NA,0.9383,-1.4644,0.9563,0.4505,1.0361,0.0498,2.156,2.4511,1.7359,1.7717,0.7319,0.9725,42,69,36,2.56494935746154,1800,1.1981,-0.1593,1.8543,-0.2882,0.0333,0.0264,1.0606,-0.3816,9,-1.6287,1.1563,-1.5093
1,0,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,7,0,0,0,0,2,2,0,1.8837,1.4475,0.331,-0.0718,0.0194,0.1023,0.5094,1.4897,1.0728,-0.2343,-0.1933,-1.7518,46,16,26,1.6094379124341,315,2.5915,-0.4968,1.8543,1.5604,1.3777,1.0991,1.2177,0.353,9,-1.2278,0.0321,-0.0335
0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,2,0,0,0,0,2,1,1,0,1,0,1,1,-0.3809,0.5683,-0.2625,-0.0141,-0.8016,0.7219,0.5094,0.0582,1.0218,0.7015,0.5824,0.882,74,25,25,2.39789527279837,315,-0.3381,0.5209,0.1111,0.395,0.891,0.5658,0.8086,-0.3816,8,-0.9969,-0.7541,-0.6968
1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,3,2,1,1,0,1,4,3,1,0.0039,-0.5665,0.2728,0.4587,0.8057,-0.0708,0.5094,0.8431,0.3708,-0.3987,-0.7443,0.34,71,25,15,3.55534806148941,1925,0.7934,0.3035,1.8543,0.9455,0.3895,1.0991,0.324,-0.8348,14,-0.7039,-0.6134,-0.1619
1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,3,7,1,0,1,1,2,2,1,1.8837,1.4475,0.9452,0.9477,0.0194,0.7231,0.5094,0.5305,0.3708,0.3155,-0.1933,0.7492,53,28,60,NA,1750,2.5915,-0.6871,-0.1651,-0.7876,-0.214,1.0991,1.0606,0.6524,6,0.0433,-0.4081,1.2668
